entrez	fc	pval
1604	0.824722903	0.030740234
10935	-0.955864277	0.030817857
10924	1.66279876	0.031039449
7779	1.183210167	0.031160486
2621	-0.941686489	0.031160486
567	-0.774439705	0.031290287
2621	-0.87752787	0.031290287
4651	-0.794442091	0.031290287
10379	-0.797265275	0.031489513
2067	-0.943659125	0.031514366
3475	0.859605786	0.031514366
23741	-0.781437489	0.031514366
9620	-0.789044042	0.031514366
2098	-0.784530609	0.031768249
11340	-0.822870139	0.031768249
5360	-0.75717163	0.031796501
8520	-0.991879426	0.031796501
9500	-0.770208598	0.032485974
23645	0.874218548	0.032531611
4811	-0.770797275	0.03281804
5635	-0.797836633	0.03281804
6703	-1.011887158	0.03281804
6764	-0.795771241	0.033364782
6238	-0.808232497	0.033599145
1266	-1.614479111	0.033650031
639	0.861348095	0.033650031
1846	-0.818471972	0.033650031
7037	0.774331096	0.033650031
4582	2.24922196	0.033712507
29899	0.750109052	0.033986875
9249	0.960909178	0.034224084
51020	-0.830846225	0.034563548
5315	-0.802334219	0.034563548
1282	-1.159317944	0.034573153
56951	-0.749036189	0.034876386
116984	0.901605302	0.034876386
2043	-0.855795778	0.0351804
4477	1.048889016	0.035600752
1195	0.854080575	0.036325399
1272	-0.923228451	0.036475972
4725	-0.783495775	0.036720538
4609	1.021566561	0.036720538
3665	-1.178352635	0.037203871
54838	1.151751044	0.037432132
57819	-0.79767141	0.038141401
10916	-0.773936926	0.038558084
4830	-0.722561207	0.038729044
6772	-1.831759418	0.038854674
471	-0.948965845	0.038854674
960	-0.813235497	0.038854674
7424	-0.789107715	0.038854674
2629	1.824397739	0.038854674
1070	-0.847563427	0.039032368
7138	-0.807245711	0.039206269
4053	-1.063024966	0.039206269
6636	-0.843503965	0.039708501
3487	-1.001852719	0.039708501
3566	-0.850584041	0.039708501
2110	0.808756492	0.039708501
6278	-1.739637408	0.040605824
23401	0.765426735	0.040708576
57152	-0.784873813	0.040806142
4335	0.804784065	0.040806142
91543	-1.02141116	0.041040561
6820	1.13820956	0.041040561
8738	-0.762474988	0.041040561
894	-0.800304605	0.041040561
NA	1.446174835	0.041717566
23199	0.952736151	0.041817439
7077	1.037712441	0.042103597
1749	1.060081917	0.042149333
6426	-0.756365272	0.042372846
1294	-0.899337769	0.042391598
5836	-0.874058939	0.042433056
4154	-0.722137531	0.042554747
4864	0.997516294	0.043132264
2196	-0.710516418	0.043681738
10657	-0.710342021	0.044445641
3851	1.666527695	0.044544449
1643	-0.838355312	0.044544449
4061	-1.035715265	0.044544449
10398	-0.874814815	0.044544449
5420	-0.884181184	0.044544449
811	-0.699182061	0.044544449
27161	0.897561351	0.044671234
NA	-0.978006868	0.044786731
4609	0.732555558	0.045545738
142	-0.736434666	0.045642059
997	1.127352492	0.045963516
9610	-0.784971503	0.046444223
1831	0.826801313	0.046444223
1318	0.836159038	0.046444223
7326	0.715364488	0.046444223
2237	-0.800349581	0.047391919
4084	0.694285047	0.04769221
4830	-0.71517108	0.048011007
397	0.704971501	0.048175503
2886	0.997123217	0.048175503
6464	-0.715252219	0.048175503
3162	1.752336331	0.048810019
3373	-0.809919837	0.048810019
2650	0.763425827	0.049175888
8796	0.808694603	0.049237172
NA	0.807991148	0.049237172
1434	-0.681381393	0.049351801
9619	1.467264918	0.049351801
10158	-0.989214234	0.049351801
3429	-1.075265759	0.049351801
3251	-0.86539288	0.04948741
